"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2014","255.00","247.50","268.75","238.75","6.39M","-1.92%"
"01/01/2014","260.00","300.00","300.50","244.53","6.36M","-12.97%"
"12/01/2013","298.75","250.03","305.00","245.00","14.75M","18.91%"
"11/01/2013","251.25","241.88","255.00","232.50","3.75M","4.15%"
"10/01/2013","241.25","237.50","250.00","230.00","953.52K","3.76%"
"09/01/2013","232.50","212.50","237.50","212.50","5.15M","8.77%"
"08/01/2013","213.75","208.20","228.75","207.50","2.09M","3.01%"
"07/01/2013","207.50","197.50","212.50","196.25","2.08M","3.75%"
"06/01/2013","200.00","208.75","211.25","196.25","993.47K","-7.51%"
"05/01/2013","216.25","186.25","216.31","181.25","4.34M","16.89%"
"04/01/2013","185.00","177.50","186.25","172.50","1.51M","4.23%"
"03/01/2013","177.50","181.25","182.50","173.75","2.97M","-1.39%"
"02/01/2013","180.00","175.00","185.00","166.25","1.59M","2.13%"
"01/01/2013","176.25","170.40","177.50","170.40","3.04M","1.44%"
"12/01/2012","173.75","172.10","186.25","167.50","1.60M","2.21%"
"11/01/2012","170.00","157.50","177.50","156.25","2.80M","10.57%"
"10/01/2012","153.75","159.42","162.50","147.50","2.14M","-3.74%"
"09/01/2012","159.72","151.40","177.78","151.40","1.90M","5.94%"
"08/01/2012","150.77","136.26","152.66","129.95","4.26M","13.27%"
"07/01/2012","133.11","136.51","141.31","126.92","935.84K","-3.21%"
"06/01/2012","137.52","156.45","158.72","136.26","667.45K","-12.80%"
"05/01/2012","157.71","167.24","176.64","147.62","4.15M","-4.94%"
"04/01/2012","165.91","191.78","191.78","152.16","810.95K","-13.49%"
"03/01/2012","191.78","190.77","194.55","185.29","784.72K","0.33%"
"02/01/2012","191.15","186.73","195.88","182.19","2.94M","0.34%"
"01/01/2012","190.51","194.30","195.60","185.47","558.25K","-0.33%"
"12/01/2011","191.15","199.22","200.25","184.21","494.03K","0.34%"
"11/01/2011","190.51","209.82","214.49","179.41","2.78M","-8.21%"
"10/01/2011","207.55","193.44","210.20","193.44","1.29M","2.81%"
"09/01/2011","201.87","207.61","210.45","189.25","2.31M","0.00%"
"08/01/2011","201.87","244.29","262.43","199.35","2.64M","-18.30%"
"07/01/2011","247.09","230.74","266.71","229.65","219.77K","7.00%"
"06/01/2011","230.92","244.91","244.91","222.02","361.74K","-2.31%"
"05/01/2011","236.37","225.65","244.54","223.07","168.94K","2.44%"
"04/01/2011","230.74","241.64","247.09","218.75","333.05K","0.00%"
"03/01/2011","230.74","261.62","276.67","230.74","373.56K","-14.13%"
"02/01/2011","268.71","281.61","283.82","241.64","518.03K","-2.70%"
"01/01/2011","276.16","286.88","287.06","266.35","106.12K","1.60%"
"12/01/2010","271.80","261.62","301.59","245.63","186.58K","5.35%"
"11/01/2010","257.99","232.55","281.61","230.74","2.29M","12.52%"
"10/01/2010","229.28","279.32","299.78","218.02","676.98K","-18.58%"
"09/01/2010","281.61","288.58","308.86","259.81","303.40K","-6.06%"
"08/01/2010","299.78","290.69","322.09","274.34","716.95K","5.37%"
"07/01/2010","284.51","304.68","308.86","269.25","344.56K","-2.13%"
"06/01/2010","290.69","302.00","316.13","263.80","591.01K","-4.76%"
"05/01/2010","305.23","327.03","338.91","291.78","293.70K","-7.69%"
"04/01/2010","330.66","327.03","346.40","317.94","203.18K","-1.09%"
"03/01/2010","334.30","327.61","348.65","321.94","723.00K","1.32%"
"02/01/2010","329.94","334.88","345.20","308.86","815.94K","-2.57%"
"01/01/2010","338.66","345.49","372.45","312.49","773.60K","-0.11%"
"12/01/2009","339.02","338.66","363.00","290.69","1.09M","0.11%"
"11/01/2009","338.66","345.20","364.27","307.04","1.08M","-0.11%"
"10/01/2009","339.02","399.88","417.87","316.49","1.42M","-15.18%"
"09/01/2009","399.70","337.93","508.71","330.66","4.63M","16.55%"
"08/01/2009","342.93","197.31","476.00","191.42","2.34M","69.62%"
"07/01/2009","202.17","200.12","225.20","184.26","144.89K","1.28%"
"06/01/2009","199.61","239.94","307.10","199.61","141.90K","-15.22%"
"05/01/2009","235.44","378.75","388.99","163.78","173.53K","-40.26%"
"04/01/2009","394.11","333.71","394.11","317.33","101.13K","25.21%"
"03/01/2009","314.77","404.34","404.34","307.10","159.18K","-24.07%"
"02/01/2009","414.58","391.55","442.73","337.81","114.07K","5.19%"
"01/01/2009","394.11","473.44","515.92","394.11","1.04M","320.79%"
