"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2012","48.06","47.07","48.06","47.07","9.22K","2.10%"
"10/01/2012","47.07","47.05","48.06","47.05","7.61K","0.86%"
"09/01/2012","46.67","45.80","47.04","45.80","8.57K","1.36%"
"08/01/2012","46.04","47.44","47.85","45.76","15.69K","-3.01%"
"07/01/2012","47.48","46.43","47.51","46.30","7.54K","0.90%"
"06/01/2012","47.05","45.90","47.05","45.90","35.78K","1.77%"
"05/01/2012","46.24","46.00","46.96","45.42","4.31K","0.38%"
"04/01/2012","46.06","46.09","46.09","45.42","47.60K","-0.06%"
"03/01/2012","46.09","46.09","46.09","45.42","5.36K","-3.21%"
"02/01/2012","47.62","43.39","47.62","43.32","61.18K","10.20%"
"01/01/2012","43.21","42.73","43.39","42.00","10.00K","1.58%"
"12/01/2011","42.54","45.61","46.03","41.79","11.67K","-5.74%"
"11/01/2011","45.13","44.08","45.60","44.07","9.53K","2.42%"
"10/01/2011","44.07","42.01","44.17","42.01","5.13K","4.06%"
"09/01/2011","42.35","44.17","44.17","41.58","20.85K","-4.13%"
"08/01/2011","44.17","46.14","46.57","43.21","44.98K","-4.17%"
"07/01/2011","46.09","46.44","46.81","46.09","17.01K","-1.03%"
"06/01/2011","46.57","47.04","47.53","46.09","14.19K","-1.00%"
"05/01/2011","47.04","45.60","47.53","45.24","7.75K","4.21%"
"04/01/2011","45.14","45.22","46.08","44.18","10.38K","2.42%"
"03/01/2011","44.08","44.12","44.17","43.21","11.94K","-0.20%"
"02/01/2011","44.16","41.20","44.17","41.10","13.37K","7.20%"
"01/01/2011","41.20","40.59","41.73","40.38","17.27K","-0.23%"
"12/01/2010","41.29","41.29","43.20","40.33","16.97K","1.18%"
"11/01/2010","40.81","40.33","42.25","40.33","19.42K","2.36%"
"10/01/2010","39.87","36.80","39.87","36.80","30.29K","8.48%"
"09/01/2010","36.75","40.82","40.82","36.32","14.13K","-9.96%"
"08/01/2010","40.82","40.84","44.44","39.93","12.38K","-0.05%"
"07/01/2010","40.84","39.93","41.06","39.84","3.12K","2.05%"
"06/01/2010","40.02","40.38","40.74","39.48","1.65K","-0.89%"
