MAS: Financial Database - Domestic Interest Rates,,,,
,,,,
Domestic Interest Rates (Daily),,,,
Jan 1990 to Aug 2024,,,,
,,,,
,,,,
End of Period / SORA Value Date,,,Interbank Overnight,SF Deposit Rate
,,10,0.56,-
,,12,0.5,-
,,13,0.5,-
,,14,0.5,-
,,15,0.56,-
,,16,0.56,-
,,17,0.88,-
,,19,0.69,-
,,20,0.63,-
,,21,0.75,-
,,24,0.5,-
,,26,0.94,-
,,27,0.75,-
,,28,0.81,-
,,29,0.81,-
,,30,0.63,-
,,31,0.63,-
,Feb,03,0.63,-
,,04,0.25,-
,,05,0.75,-
,,06,0.63,-
,,07,0.63,-
,,09,0.75,-
,,10,0.63,-
,,11,0.56,-
,,12,0.38,-
,,13,0.13,-
,,14,0.5,-
,,16,0.06,-
,,17,0.19,-
,,18,0.13,-
,,19,0.5,-
,,20,0.19,-
,,21,0.25,-
,,23,0.13,-
,,24,0.38,-
,,25,0.38,-
,,26,0.38,-
,,27,0.56,-
,,28,0.5,-
,Mar,01,0.13,-
,,02,0.5,-
,,03,0.5,-
,,04,0.56,-
,,05,0.63,-
,,06,0.63,-
,,08,0.5,-
,,09,0.38,-
,,10,0.13,-
,,11,0.25,-
,,12,0.38,-
,,13,0.38,-
,,15,0.19,-
,,16,0.38,-
,,17,0.44,-
,,18,0.31,-
,,19,0.38,-
,,20,0.5,-
,,22,0.25,-
,,23,0.38,-
,,24,0.44,-
,,25,0.5,-
,,26,0.38,-
,,27,0.38,-
,,29,0.5,-
,,30,0.5,-
,,31,0.56,-
,Apr,01,0.5,-
,,02,0.38,-
,,03,0.38,-
,,05,0.38,-
,,06,0.38,-
,,07,0.5,-
,,08,0.38,-
,,10,0.38,-
,,12,0.19,-
,,13,0.13,-
,,14,0.13,-
,,15,0.19,-
,,16,0.38,-
,,17,0.38,-
,,19,0.25,-
,,20,0.13,-
,,21,0.13,-
,,22,0.13,-
,,23,0.38,-
,,24,0.38,-
,,26,0.25,-
,,27,0.19,-
,,28,0.06,-
,,29,0.38,-
,,30,0.5,-
,May,03,0.5,-
,,04,0.5,-
,,05,0.56,-
,,06,0.63,-
,,07,0.63,-
,,08,0.5,-
,,10,0.69,-
,,11,0.63,-
,,12,0.56,-
,,13,0.56,-
,,14,0.31,-
,,15,0.25,-
,,17,0.44,-
,,18,0.38,-
,,19,0.19,-
,,20,0.44,-
,,21,0.38,-
,,22,0.38,-
,,24,0.25,-
,,25,0.25,-
,,26,0.19,-
,,27,0.38,-
,,28,0.5,-
,,29,0.44,-
,,31,0.38,-
,Jun,01,0.44,-
,,03,0.44,-
,,04,0.38,-
,,05,0.44,-
,,07,0.56,-
,,08,0.56,-
,,09,0.38,-
,,10,0.5,-
,,11,0.5,-
,,12,0.38,-
,,14,0.5,-
,,15,0.5,-
,,16,0.44,-
,,17,0.44,-
,,18,0.5,-
,,19,0.5,-
,,21,0.38,-
,,22,0.38,-
,,23,0.31,-
,,24,0.5,-
,,25,0.44,-
,,26,0.44,-
,,28,0.44,-
,,29,0.5,-
,,30,0.44,-
,Jul,01,0.5,-
,,02,0.63,-
,,03,0.5,-
,,05,0.69,-
,,06,1,-
,,07,1.13,-
,,08,1,-
,,09,1.25,-
,,10,0.88,-
,,12,1.38,-
,,13,0.56,-
,,14,1,-
,,15,0.69,-
,,16,0.25,-
,,17,0.5,-
,,19,0.5,-
,,20,0.25,-
,,21,0.19,-
,,22,0.63,-
,,23,0.63,-
,,24,0.38,-
,,26,0.63,-
,,27,0.69,-
,,28,0.5,-
,,29,0.56,-
,,30,0.69,-
,,31,0.75,-
,Aug,02,0.75,-
,,03,0.81,-
,,04,0.38,-
,,05,0.81,-
,,06,0.75,-
,,07,0.75,-
,,10,0.88,-
,,11,0.94,-
,,12,0.94,-
,,13,1,-
,,14,0.63,-
,,16,0.88,-
,,17,0.94,-
,,18,1.13,-
,,19,1,-
,,20,1.13,-
,,21,0.94,-
,,23,1.06,-
,,24,1.13,-
,,25,1.13,-
,,26,1.25,-
,,27,1.38,-
,,28,1.25,-
,,30,1,-
,,31,0.38,-
,Sep,01,0.63,-
,,02,1.13,-
,,03,1.13,-
,,04,1,-
,,06,1.13,-
,,07,1.13,-
,,08,1.25,-
,,09,1.25,-
,,10,1.25,-
,,11,1,-
,,13,1.13,-
,,14,1,-
,,15,1.19,-
,,16,1.31,-
,,17,0.75,-
,,18,0.88,-
,,20,1.13,-
,,21,1.19,-
,,22,1.31,-
,,23,1.31,-
,,24,1.19,-
,,25,1.13,-
,,27,0.88,-
,,28,0.5,-
,,29,0.38,-
,,30,1.13,-
,Oct,01,1.13,-
,,02,1,-
,,04,1,-
,,05,1.06,-
,,06,1.13,-
,,07,1.13,-
,,08,0.75,-
,,09,0.75,-
,,11,0.88,-
,,12,0.75,-
,,13,0.63,-
,,14,1.13,-
,,15,1.19,-
,,16,1,-
,,18,1.13,-
,,19,1.13,-
,,20,1.13,-
,,21,1.06,-
,,22,1.25,-
,,23,1.13,-
,,25,0.88,-
,,26,1.25,-
,,27,1.13,-
,,28,1,-
,,29,0.94,-
,,30,0.88,-
,Nov,01,1,-
,,02,0.94,-
,,03,1.06,-
,,04,1.06,-
,,05,1.13,-
,,06,1,-
,,08,1.13,-
,,09,1.13,-
,,10,0.25,-
,,12,1.25,-
,,13,1.19,-
,,16,1.13,-
,,17,1.19,-
,,18,1.19,-
,,19,1,-
,,20,1,-
,,22,0.13,-
,,23,0.13,-
,,24,0.19,-
,,25,0.75,-
,,26,0.75,-
,,27,0.63,-
,,29,0.5,-
,,30,0.88,-
,Dec,01,0.88,-
,,02,0.88,-
,,03,0.94,-
,,04,0.88,-
,,06,1,-
,,07,0.75,-
,,08,0.31,-
,,09,1.06,-
,,10,1.13,-
,,11,1,-
,,13,1,-
,,14,1.13,-
,,15,1,-
,,16,1.06,-
,,17,1,-
,,18,1,-
,,20,1,-
,,21,1,-
,,22,0.75,-
,,23,1.19,-
,,24,1.13,-
,,27,1.19,-
,,28,1.25,-
,,29,1.25,-
,,30,1.13,-
,,31,1.63,-
2005,Jan,03,1.38,-
,,04,1.5,-
,,05,1.5,-
,,06,1.63,-
,,07,1.63,-
,,08,1.5,-
,,10,1,-
,,11,1.75,-
,,12,1.63,-
,,13,1.25,-
,,14,0.75,-
,,15,1,-
,,17,0.06,-
,,18,0.13,-
,,19,0.25,-
,,20,1.25,-
,,22,1.13,-
,,24,1.38,-
,,25,1.13,-
,,26,1.38,-
,,27,1.5,-
,,28,1.38,-
,,29,1.38,-
,,31,1.25,-
,Feb,01,1.38,-
,,02,1,-
,,03,1.38,-
,,04,1.63,-
,,05,1.5,-
,,07,1.5,-
,,08,1.5,-
,,11,1.5,-
,,12,1.5,-
,,14,1.44,-
,,15,1.13,-
,,16,1.63,-
,,17,1.75,-
,,18,1.69,-
,,19,1.75,-
,,21,1.75,-
,,22,1.75,-
,,23,1.75,-
,,24,1.81,-
,,25,1.88,-
,,26,1.63,-
,,28,1.25,-
,Mar,01,1.06,-
,,02,1.25,-
,,03,1.69,-
,,04,1.69,-
,,05,1.44,-
,,07,1.63,-
,,08,1.63,-
,,09,1.63,-
,,10,1.63,-
,,11,1.75,-
,,12,1.69,-
,,14,1.63,-
,,15,1.25,-
,,16,0.25,-
,,17,1.56,-
,,18,1.56,-
,,19,1.06,-
,,21,1.5,-
,,22,1.56,-
,,23,1.81,-
,,24,1.88,-
,,26,1.81,-
,,28,1.88,-
,,29,1.63,-
,,30,1.38,-
,,31,1.5,-
,Apr,01,1.75,-
,,02,1.63,-
,,04,1.75,-
,,05,1.63,-
,,06,1.63,-
,,07,1.69,-
,,08,1.63,-
,,09,1.63,-
,,11,1.38,-
,,12,1.44,-
,,13,1.63,-
,,14,1.88,-
,,15,1.88,-
,,16,1.63,-
,,18,1.75,-
,,19,2.06,-
,,20,2,-
,,21,1.75,-
,,22,2,-
,,23,2,-
,,25,1.63,-
,,26,2,-
,,27,1.5,-
,,28,1.94,-
,,29,1.88,-
,,30,1.88,-
,May,03,1.81,-
,,04,1.75,-
,,05,1.63,-
,,06,1.81,-
,,07,1.63,-
,,09,1.88,-
,,10,1.5,-
,,11,0.13,-
,,12,1.75,-
,,13,1.69,-
,,14,1.69,-
,,16,1.63,-
,,17,1.63,-
,,18,1.56,-
,,19,1.63,-
,,20,1.69,-
,,21,1.69,-
,,24,1.5,-
,,25,1.63,-
,,26,1.88,-
,,27,1.88,-
,,28,1.5,-
,,30,1.94,-
,,31,2.06,-
,Jun,01,1.88,-
,,02,2,-
,,03,2,-
,,04,2,-
,,06,2.06,-
,,07,1.5,-
,,08,1.75,-
,,09,1.94,-
,,10,1.63,-
,,11,1.75,-
,,13,1.63,-
,,14,1.69,-
,,15,1.69,-
,,16,1.75,-
,,17,1.69,-
,,18,1.75,-
,,20,1.63,-
,,21,1.63,-
,,22,1.5,-
,,23,1.75,-
,,24,1.81,-
,,25,1.75,-
,,27,1.75,-
,,28,1.75,-
,,29,1.88,-
,,30,1.69,-
,Jul,01,1.81,-
,,02,1.88,-
,,04,1.81,-
,,05,1.88,-
,,06,1.75,-
,,07,1.94,-
,,08,1.88,-
,,09,1.75,-
,,11,1.75,-
,,12,1.75,-
,,13,1.75,-
,,14,1.75,-
,,15,1.81,-
,,16,1.63,-
,,18,1.75,-
,,19,1.88,-
,,20,1.75,-
,,21,1.88,-
,,22,1.81,-
,,23,1.81,-
,,25,1.81,-
,,26,1.81,-
,,27,1.81,-
,,28,1.81,-
,,29,1.81,-
,,30,1.81,-
,Aug,01,1.81,-
,,02,1.75,-
,,03,1.81,-
,,04,1.81,-
,,05,1.81,-
,,06,1.75,-
,,08,1.75,-
,,10,1.75,-
,,11,1.81,-
,,12,1.81,-
,,13,1.75,-
,,15,1.69,-
,,16,1.75,-
,,17,1.69,-
,,18,1.69,-
,,19,1.75,-
,,20,1.75,-
,,22,1.81,-
,,23,1.81,-
,,24,1.81,-
,,25,1.75,-
,,26,1.75,-
,,27,1.75,-
,,29,1.81,-
,,30,1.81,-
,,31,1.81,-
,Sep,01,2,-
,,02,2,-
,,03,1.88,-
,,05,1.88,-
,,06,2,-
,,07,2,-
,,08,1.88,-
,,09,2,-
,,10,1.94,-
,,12,2,-
,,13,2,-
,,14,1.94,-
,,15,2.13,-
,,16,2.13,-
,,17,2,-
,,19,2.13,-
,,20,2.13,-
,,21,2.13,-
,,22,2.13,-
,,23,2.13,-
,,24,2.13,-
,,26,2.13,-
,,27,2.13,-
,,28,0.38,-
,,29,2.13,-
,,30,2.19,-
,Oct,01,1.88,-
,,03,2,-
,,04,1.94,-
,,05,2,-
,,06,2,-
,,07,2.13,-
,,08,2,-
,,10,2.25,-
,,11,2.25,-
,,12,2.25,-
,,13,2.25,-
,,14,2.06,-
,,15,1.5,-
,,17,2.13,-
,,18,2.06,-
,,19,2,-
,,20,2.06,-
,,21,2.19,-
,,22,2.13,-
,,24,2,-
,,25,2.25,-
,,26,2,-
,,27,2.38,-
,,28,2.31,-
,,29,2.25,-
,,31,2.31,-
,Nov,02,2.31,-
,,04,2.75,-
,,05,2.5,-
,,07,2.5,-
,,08,2.63,-
,,09,2.75,-
,,10,2.63,-
,,11,2.75,-
,,12,2.75,-
,,14,2.63,-
,,15,2.31,-
,,16,2.38,-
,,17,2.63,-
,,18,2.69,-
,,19,2.69,-
,,21,2.75,-
,,22,2.81,-
,,23,2,-
,,24,2.63,-
,,25,2.5,-
,,26,2.5,-
,,28,2.5,-
,,29,2.5,-
,,30,2.5,-
,Dec,01,2.5,-
,,02,2.38,-
,,03,2.25,-
,,05,2.25,-
,,06,1.56,-
,,07,2.63,-
,,08,2.75,-
,,09,2.69,-
,,10,2.75,-
,,12,2.5,-
,,13,2.63,-
,,14,2.88,-
,,15,2.63,-
,,16,2.88,-
,,17,3.56,-
,,19,2.5,-
,,20,2,-
,,21,2,-
,,22,2.88,-
,,23,2.13,-
,,24,2.75,-
,,27,2.75,-
,,28,3,-
,,29,3.13,-
,,30,3.63,-
,,31,3.25,-
2006,Jan,03,2.75,-
,,04,2.75,-
,,05,2.63,-
,,06,2.5,-
,,07,2.5,-
,,09,2.63,-
,,11,3.13,-
,,12,3.5,-
,,13,3,-
,,14,3,-
,,16,2,-
,,17,3.38,-
,,18,2,-
,,19,3,-
,,20,2.25,-
,,21,2.75,-
,,23,2.25,-
,,24,2.25,-
,,25,3,-
,,26,3.13,-
,,27,3.5,-
,,28,3.13,-
,Feb,01,3.63,-
,,02,3.25,-
,,03,3.13,-
,,04,3.25,-
,,06,3.25,-
,,07,3,-
,,08,1.25,-
,,09,1.75,-
,,10,2.13,-
,,11,2.13,-
,,13,0.25,-
,,14,0.25,-
,,15,0.25,-
,,16,3,-
,,17,3.25,-
,,18,3,-
,,20,3.25,-
,,21,3.31,-
,,22,3.13,-
,,23,3.25,-
,,24,3.13,-
,,25,3,-
,,27,3.13,-
,,28,3,-
,Mar,01,0.75,-
,,02,3.25,-
,,03,3.25,-
,,04,3.25,-
,,06,3.19,-
,,07,3.25,-
,,08,3,-
,,09,3.25,-
,,10,3,-
,,11,3,-
,,13,3.25,-
,,14,3.13,-
,,15,2.5,-
,,16,3.13,-
,,17,3.25,-
,,18,2.63,-
,,20,3,-
,,21,2.25,-
,,22,3.13,-
,,23,3.13,-
,,24,3.13,-
,,25,3,-
,,27,3,-
,,28,1,-
,,29,0.19,-
,,30,3.13,-
,,31,3.25,-
,Apr,01,2.75,-
,,03,3,-
,,04,3.25,-
,,05,3,-
,,06,3,-
,,07,3.25,-
,,08,3,-
,,10,3.25,-
,,11,3,-
,,12,3.13,-
,,13,2.88,-
,,15,2.75,-
,,17,3,-
,,18,3,-
,,19,2.88,-
,,20,3,-
,,21,2.88,-
,,22,2.88,-
,,24,3.13,-
,,25,3.13,-
,,26,2.5,-
,,27,2.88,-
,,28,3,-
,,29,3,-
,May,02,3,-
,,03,3.13,-
,,04,3.06,-
,,05,3.13,-
,,08,0.38,-
,,09,2,-
,,10,2.75,-
,,11,3,-
,,13,3,-
,,15,2.5,-
,,16,3,-
,,17,2.75,-
,,18,2.88,-
,,19,2,-
,,22,1.5,-
,,23,2.25,-
,,24,3.06,-
,,25,3.13,-
,,26,3.13,-
,,29,2.38,-
,,30,3.25,-
,,31,3,-
,Jun,01,3,2.73
,,02,3.13,2.73
,,05,3.13,2.82
,,06,3.13,2.83
,,07,2.88,2.81
,,08,3.13,2.79
,,09,3,2.68
,,12,3.13,2.69
,,13,3.13,2.66
,,14,3.13,2.69
,,15,3.25,2.87
,,16,3.25,2.88
,,19,3.25,2.83
,,20,3.25,2.93
,,21,3,2.86
,,22,3.25,2.82
,,23,3.38,2.89
,,26,3.13,2.82
,,27,3.25,2.84
,,28,3.25,2.88
,,29,3.19,2.95
,,30,3.13,2.9
,Jul,03,3.38,2.85
,,04,2.88,2.74
,,05,1.5,2.6
,,06,3,2.85
,,07,3.25,2.93
,,10,3.38,2.88
,,11,3.25,2.95
,,12,3.25,2.98
,,13,3.25,2.98
,,14,2.88,2.95
,,17,2.75,2.78
,,18,3,2.64
,,19,3.13,2.59
,,20,3.25,2.76
,,21,3.13,2.84
,,24,3.25,2.77
,,25,3.25,2.82
,,26,3.13,2.86
,,27,3.25,2.77
,,28,2.88,2.72
,,31,3,2.51
,Aug,01,3.13,2.56
,,02,2.75,2.72
,,03,3.38,2.82
,,04,2.88,2.75
,,07,3.13,2.46
,,08,3.25,2.57
,,10,3.25,2.71
,,11,3.13,2.81
,,14,3.13,2.79
,,15,3.25,2.79
,,16,3.13,2.79
,,17,3.25,2.81
,,18,3.25,2.75
,,21,3.06,2.75
,,22,3.25,2.81
,,23,3.13,2.82
,,24,3.38,2.87
,,25,3.38,2.94
,,28,3.13,2.96
,,29,3.25,2.92
,,30,3.13,2.79
,,31,3.38,2.87
,Sep,01,3.25,3.04
,,04,3,2.8
,,05,3.13,2.8
,,06,3,2.76
,,07,3.06,2.63
,,08,3,2.59
,,11,2.63,2.33
,,12,3.13,2.39
,,13,3,2.68
,,14,3.13,2.84
,,15,3,2.8
,,18,3.25,2.81
,,19,3.25,2.86
,,20,3.5,2.94
,,21,3.75,3.19
,,22,3.38,3.43
,,25,3.25,3.05
,,26,3.13,2.97
,,27,3,2.88
,,28,3,2.85
,,29,3.5,2.86
,Oct,02,3.38,2.91
,,03,3.25,2.92
,,04,3,2.79
,,05,3,2.61
,,06,3.25,2.62
,,09,3.25,2.68
,,10,3.25,2.88
,,11,3.5,3.01
,,12,3.38,3.12
,,13,3.25,3.1
,,16,3.5,3.02
,,17,3.44,3.09
,,18,3.38,3.11
,,19,3.44,3.02
,,20,3.13,2.97
,,23,3.13,2.89
,,25,3.13,2.9
,,26,3.38,2.98
,,27,3.5,3.13
,,30,3.38,3.24
,,31,3.25,3.26
,Nov,01,3.38,3.29
,,02,3.44,3.09
,,03,3.38,3.12
,,06,3.25,3
,,07,3.13,2.91
,,08,3,2.89
,,09,3.25,2.9
,,10,3.13,2.76
,,13,2.88,2.81
,,14,3,2.66
,,15,3.31,2.64
,,16,3.13,2.85
,,17,3.31,2.79
,,20,3.13,2.78
,,21,3.13,2.73
,,22,3,2.74
,,23,3.13,2.72
,,24,3,2.73
,,27,3.13,2.73
,,28,3,2.68
,,29,3.06,2.59
,,30,3.13,2.61
,Dec,01,3.13,2.68
,,04,3,2.59
,,05,3,2.61
,,06,3,2.62
,,07,3.13,2.65
,,08,3.13,2.78
,,11,3,2.72
,,12,3,2.72
,,13,3.13,2.62
,,14,3.13,2.78
,,15,3.13,2.9
,,18,2.75,2.89
,,19,2.81,2.94
,,20,2.75,2.73
,,21,3.13,2.72
,,22,3.13,2.73
,,26,3.13,2.74
,,27,3.25,2.79
,,28,3.13,2.92
,,29,3.56,3.47
2007,Jan,03,3,2.75
,,04,3.13,2.77
,,05,3,2.8
,,08,3,2.72
,,09,3.13,2.66
,,10,3.13,2.76
,,11,3.13,2.88
,,12,3,2.82
,,15,2.88,2.78
,,16,2.5,2.68
,,17,2.5,2.53
,,18,3,2.69
,,19,3,2.64
,,22,3.13,2.59
,,23,3.13,2.69
,,24,3.13,2.72
,,25,3.13,2.68
,,26,3.13,2.75
,,29,3.06,2.78
,,30,3.13,2.81
,,31,2.75,2.87
,Feb,01,3.25,2.86
,,02,2.88,2.74
,,05,3,2.72
,,06,3.13,2.66
,,07,3,2.75
,,08,3,2.68
,,09,3.13,2.69
,,12,3.13,2.74
,,13,3,2.73
,,14,2.5,2.63
,,15,2.75,2.74
,,16,2.94,2.67
,,21,3,2.71
,,22,2.88,2.72
,,23,3,2.66
,,26,2.75,2.61
,,27,2.25,2.41
,,28,3,2.12
,Mar,01,3,2.62
,,02,3,2.68
,,05,2.5,2.1
,,06,2,1.92
,,07,2.13,1.75
,,08,2.25,1.73
,,09,2.25,1.78
,,12,1.88,1.63
,,13,1.63,1.49
,,14,1.75,1.4
,,15,2.63,1.64
,,16,2.88,2.61
,,19,3,2.58
,,20,2.88,2.48
,,21,2.88,2.4
,,22,2.75,2.39
,,23,2.75,2.45
,,26,2.38,2.45
,,27,2.5,2.35
,,28,1.75,1.66
,,29,2.75,2.21
,,30,2.5,2.45
,Apr,02,2.5,2.34
,,03,2.38,2.21
,,04,2.5,2.12
,,05,2.56,2.18
,,09,2.25,2.11
,,10,2.25,2.11
,,11,2.25,1.93
,,12,2.38,1.94
,,13,2.38,1.9
,,16,2.25,1.85
,,17,1.75,1.58
,,18,2.13,1.43
,,19,2.13,1.48
,,20,2.38,1.67
,,23,2.38,1.87
,,24,2.44,1.95
,,25,2.5,2.01
,,26,2.5,2.05
,,27,2.5,2.06
,,30,2.5,1.98
,May,02,2.44,1.93
,,03,2.63,2.01
,,04,2.63,2.04
,,07,2.56,2.04
,,08,2.25,2.03
,,09,2,1.96
,,10,2.25,1.93
,,11,2.38,1.86
,,14,2.25,1.85
,,15,1.88,1.8
,,16,1.94,1.52
,,17,1.75,1.42
,,18,2,1.19
,,21,1.88,1.31
,,22,2.13,1.29
,,23,2.63,1.58
,,24,2.13,1.66
,,25,2.13,1.65
,,28,2.25,1.63
,,29,2.25,1.6
,,30,2.25,1.81
,Jun,01,2.19,1.87
,,04,2,1.81
,,05,1.63,1.71
,,06,1.63,1.68
,,07,2,1.64
,,08,2.19,1.71
,,11,2.31,1.72
,,12,2.25,1.94
,,13,2.31,1.94
,,14,2.25,1.96
,,15,2.25,1.89
,,18,2.19,1.86
,,19,1.75,1.69
,,20,2.25,1.62
,,21,2.25,1.81
,,22,2.25,1.8
,,25,2.13,1.61
,,26,2.13,1.64
,,27,2.25,1.66
,,28,2.25,1.75
,,29,1.88,1.83
,Jul,02,1.75,1.61
,,03,2.25,1.57
,,04,2.25,1.84
,,05,2.25,1.9
,,06,2.25,1.9
,,09,2.25,1.76
,,10,2.31,1.73
,,11,2.19,1.89
,,12,2.25,1.89
,,13,2.31,1.9
,,16,2.25,1.86
,,17,2.25,1.81
,,18,2.25,1.85
,,19,2.38,1.87
,,20,2.25,1.89
,,23,2.31,1.89
,,24,2.25,1.89
,,25,2.25,1.88
,,26,2.25,1.89
,,27,2.19,1.89
,,30,2.19,1.87
,,31,2,1.92
,Aug,01,2,1.99
,,02,2.38,2.1
,,03,2.19,2
,,06,2.25,1.88
,,07,2.25,1.85
,,08,2.25,1.85
,,10,2.38,2.22
,,13,2.38,2.14
,,14,1.75,1.97
,,15,2,2.09
,,16,2.38,2.25
,,17,2.25,2.14
,,20,2.31,2.1
,,21,2.25,1.93
,,22,2,1.73
,,23,2.13,1.64
,,24,2.25,1.7
,,27,2,1.85
,,28,2,1.85
,,29,1.63,1.8
,,30,2.25,1.74
,,31,2.25,2.01
,Sep,03,2.25,2.2
,,04,2.25,1.88
,,05,2.25,1.78
,,06,2.5,1.88
,,07,2.25,2
,,10,1.75,1.96
,,11,2,1.98
,,12,1.25,1.67
,,13,2.13,1.64
,,14,2,1.68
,,17,2.25,1.69
,,18,2.25,1.75
,,19,2.13,1.62
,,20,2.31,1.61
,,21,2.25,1.76
,,24,2.13,1.77
,,25,2.19,1.85
,,26,2,1.77
,,27,2.13,1.86
,,28,2.13,2.09
,Oct,01,1.75,1.81
,,02,1.88,1.61
,,03,1.88,1.61
,,04,2.13,1.66
,,05,2.13,1.63
,,08,2.06,1.76
,,09,2.13,1.7
,,10,2,1.82
,,11,2.13,1.77
,,12,2.25,1.77
,,15,2.25,1.83
,,16,2.25,1.84
,,17,2.5,2
,,18,2.38,2.13
,,19,2.5,2.13
,,22,2.25,2.04
,,23,1.75,1.92
,,24,1.25,1.52
,,25,1.88,1.54
,,26,2.25,1.58
,,29,2.31,1.67
,,30,2.13,1.88
,,31,2.25,2.03
,Nov,01,2.38,1.85
,,02,2,2.07
,,05,1.5,1.92
,,06,1,1.48
,,07,0.5,0.5
,,09,1.75,1.44
,,12,2.13,1.64
,,13,1.75,1.71
,,14,1.5,1.5
,,15,1.5,1.4
,,16,1.5,1.28
,,19,1.75,1.27
,,20,1.5,1.22
,,21,1.5,1.16
,,22,1.75,1.38
,,23,1.75,1.53
,,26,1.5,1.5
,,27,1.38,1.28
,,28,1.13,1.03
,,29,1.44,0.5
,,30,1,0.83
,Dec,03,0.63,0.58
,,04,0.38,0.37
,,05,0.13,0.18
,,06,1,0.24
,,07,0.81,0.41
,,10,1,0.48
,,11,1,0.44
,,12,1.06,0.48
,,13,1.25,0.64
,,14,1.25,1.46
,,17,1.13,1.45
,,18,1,0.98
,,19,0.38,0.11
,,21,0.88,0.26
,,24,0.88,0.22
,,26,0.5,0.38
,,27,0.69,0.3
,,28,0.38,0.32
,,31,1.25,0.42
2008,Jan,02,0.5,0.46
,,03,0.63,0.47
,,04,0.75,0.34
,,07,0.75,0.36
,,08,0.88,0.36
,,09,1,0.41
,,10,0.88,0.55
,,11,1.25,0.52
,,14,1.25,0.7
,,15,1.31,0.76
,,16,0.75,0.81
,,17,1.31,0.81
,,18,1.63,0.93
,,21,1.38,1.01
,,22,1.5,1.06
,,23,1.38,0.79
,,24,1.25,0.85
,,25,1.38,0.9
,,28,1.5,1.07
,,29,1.38,1.42
,,30,1,1.4
,,31,1.5,1.42
,Feb,01,1.63,1.38
,,04,1.44,1.41
,,05,1.38,1.15
,,06,1.38,1.16
,,11,1.13,1.08
,,12,1,1
,,13,1,0.96
,,14,0.88,0.75
,,15,1.25,0.63
,,18,1.19,0.69
,,19,1,0.72
,,20,1.25,0.82
,,21,1.25,0.94
,,22,1.13,0.94
,,25,0.88,0.78
,,26,1,0.78
,,27,0.75,0.69
,,28,1,0.64
,,29,0.88,0.69
,Mar,03,1.25,0.62
,,04,0.94,0.8
,,05,1,0.75
,,06,0.63,0.58
,,07,0.38,0.28
,,10,0.25,0
,,11,0.38,0
,,12,0.25,0
,,13,0.38,0.01
,,14,0.5,0.08
,,17,0.63,0.31
,,18,0.69,0.63
,,19,0.63,0.64
,,20,0.75,0.76
,,24,0.75,0.77
,,25,0.63,0.8
,,26,0.5,0.61
,,27,0.63,0.29
,,28,0.5,0.25
,,31,0.63,0.42
,Apr,01,0.44,0.44
,,02,0.5,0.25
,,03,0.75,0.22
,,04,0.5,0.39
,,07,0.5,0.37
,,08,0.25,0.28
,,09,0.25,0.09
,,10,0.5,0.1
,,11,0.5,0.11
,,14,0.25,0.08
,,15,0.25,0.17
,,16,0.25,0.13
,,17,0.25,0
,,18,0.19,0
,,21,0.06,0
,,22,0.13,0
,,23,0.38,0
,,24,0.5,0
,,25,0.63,0.21
,,28,0.88,0.77
,,29,0.88,0.84
,,30,0.5,0.99
,May,02,0.88,0.72
,,05,0.5,0.27
,,06,0.25,0.21
,,07,0.19,0.13
,,08,0.75,0.2
,,09,0.88,0.36
,,12,0.56,0.5
,,13,0.63,0.61
,,14,0.5,0.54
,,15,0.25,0.18
,,16,0.38,0.04
,,20,0.25,0.03
,,21,0.13,0
,,22,0.75,0.08
,,23,0.75,0.46
,,26,0.38,0.43
,,27,0.38,0.33
,,28,0.38,0.23
,,29,0.38,0.14
,,30,0.19,0.15
,Jun,02,0.25,0.01
,,03,0.25,0
,,04,0.25,0
,,05,0.25,0
,,06,0.25,0
,,09,0.31,0
,,10,0.25,0
,,11,0.13,0
,,12,0.31,0
,,13,0.19,0
,,16,0.06,0
,,17,0.06,0
,,18,0.5,0
,,19,0.38,0
,,20,0.44,0
,,23,0.25,0
,,24,0.19,0
,,25,0.25,0
,,26,0.5,0
,,27,0.38,0.1
,,30,0.25,0.82
,Jul,01,0.13,0
,,02,0.06,0
,,03,0.31,0
,,04,0.31,0.07
,,07,0.44,0
,,08,0.31,0.02
,,09,0.38,0
,,10,0.44,0
,,11,0.38,0
,,14,0.31,0
,,15,0.13,0
,,16,0.44,0
,,17,0.44,0
,,18,0.44,0
,,21,0.38,0
,,22,0.38,0
,,23,0.31,0.08
,,24,0.5,0.07
,,25,0.13,0
,,28,0.13,0
,,29,0.06,0
,,30,0.13,0
,,31,0.31,0
,Aug,01,0.31,0
,,04,0.31,0
,,05,0.38,0
,,06,0.44,0
,,07,0.44,0
,,08,0.63,0.08
,,11,0.63,0.27
,,12,0.63,0.26
,,13,0.63,0.35
,,14,1,0.35
,,15,0.88,0.6
,,18,0.63,0.44
,,19,0.63,0.2
,,20,0.5,0.13
,,21,0.63,0.25
,,22,0.56,0.25
,,25,0.25,0.19
,,26,0.25,0.12
,,27,0.13,0.14
,,28,0.5,0.24
,,29,0.38,0.38
,Sep,01,0.5,0.12
,,02,0.69,0.12
,,03,0.75,0.17
,,04,0.75,0.22
,,05,0.75,0.34
,,08,0.56,0.4
,,09,0.75,0.38
,,10,0.75,0.36
,,11,1.13,0.42
,,12,0.75,0.61
,,15,0.88,0.72
,,16,1,1
,,17,1.25,1.12
,,18,1.38,1.35
,,19,1.13,1.23
